,title,description,publishedAt,videoId,liveBroadcastContent
0,Ciclone em Garopaba,Pôr do sol na praia da Ferrugem.,2020-07-02T02:14:24Z,1cpb7gcf3as,none
1,De Foz do Iguaçu a Guaíra de Tornado 250,,2020-08-12T04:13:56Z,nWzV2pFr9Gs,none
2,Role de Miranda a Campo Grande | Motocando #10,,2020-08-28T06:38:39Z,bh1o8mFWVPI,none
3,De Pelotas a Santa Maria de Tornado 250,,2020-08-07T02:20:27Z,q7KPLrN7M0I,none
4,Euvimarcos toca em Camboriú,,2020-06-14T03:33:23Z,58YuFaEF8F4,none
5,"De Dourados a Bonito, MS",,2020-08-14T02:41:30Z,VBmO_hXGup4,none
6,"América Latina #6 Casino Carnaval, Encarnación Paraguay. Missão jogar para recuperar o dinheiro do","América Latina #6 Casino Carnaval, Encarnación Paraguay. Missão jogar para recuperar o dinheiro do conserto do carro, ...",2022-09-25T17:26:11Z,f0Dc1iIQbVQ,none
7,"Amanhecer, pousada Correa, Florianópolis",,2020-06-26T01:58:06Z,ZbUlIDP9iww,none
8,Euvimarcos toca funiculi funicula,,2020-06-14T03:33:22Z,iNJrlauDIF8,none
9,"Quase preso na Argentina, de São Miguel do Oeste a Dionísio Cerqueira de Tornado 250",,2020-08-09T21:50:10Z,_npxdq5a8FA,none
10,"Por do sol na Serra Gaúcha, Gramado",,2020-07-07T05:02:38Z,KGbiujaNoPQ,none
11,Transmissão ao vivo da minha #GoPro,,2023-07-13T08:08:18Z,Jr_xBcl5GOs,none
12,"Adrenalive - Mototerapia Rolê de Tornado por Itapetininga, com cachorro Pirata pt4/4",,2023-09-18T10:13:27Z,mKL0sRDXED8,none
13,Adrenalive - Mototerapia Ficou filé a reforma! 1/5,,2023-09-23T23:28:48Z,3HZYlCROmLQ,none
14,Adrenalive - Mototerapia Pneu furado no dia dos pais... Vamos Longe da vida real,Meu role divertido virou um esforço pra andar com pneu murcho.,2023-08-15T09:07:09Z,HzM9IfeH0i8,none
15,Adrenalive - Voltando do Shopping 1/2,,2023-09-24T01:01:17Z,xn3N5Kwi9Hg,none
16,"Adrenalive - Mototerapia Rolê de Tornado por Itapetininga, com cachorro Pirata pt2/4",,2023-09-18T10:12:37Z,rJYskDyUfuE,none
17,"Standup Trip Sorocaba, SP - Aula Experimental na Oficina da Comédia 9/9",,2023-09-27T00:00:12Z,IZb3pZrbRuM,none
18,Adrenalive - Voltando do Shopping 2/2,,2023-09-24T01:30:31Z,svbaNxCwCSc,none
19,"Adrenalive - Mototerapia Rolê de Tornado por Itapetininga, com cachorro Pirata pt1/4",,2023-09-18T10:12:11Z,gU4Z1xXlHyk,none
20,Adrenalive - Mototerapia Ficou filé a reforma! 3/5,,2023-09-23T23:29:56Z,WZxxnl0diDA,none
21,"Standup Trip Sorocaba, SP - Aula Experimental na Oficina da Comédia 8/9",,2023-09-26T23:00:32Z,ogsQHHMoRG8,none
22,"Pôr do sol na Lagoa da Conceição, Florianópolis","Créditos Francisco Matelli Matulovic, entre em contato para imagens em HQ sem marca de água.",2020-06-25T00:23:59Z,2FdjkfMy-dE,none
23,Ataque brutal do cachorro Pirata,,2022-09-14T21:07:09Z,spltwC0NSz8,none
24,Chapadão do Céu - Cachoeira da Rapadura - Rio Verde,,2020-09-15T03:31:02Z,vE3IagwqkjM,none
25,Efeitos da cerveja o buteco carioca na Lapa,cerveja ja ja ja #shorts.,2022-05-16T14:15:34Z,ZyHvjt--b7s,none
26,"Paixão Nova: Motocross, Jalapão TO #shorts","apos um tempo, voltei.",2022-03-24T03:10:25Z,O_pKxHeRDYE,none
27,"VamosLonge - 3 anos Viajando o Brasil e Uruguai de Tornado 250, parte 1",Vídeo resumo da primeira temporada de viagem de moto pelo Brasil e Uruguai.,2023-04-15T20:00:00Z,1c-53ExJcXw,none
28,De Palmas à Ponte Alta de Tocantins de Tornado 250,,2020-10-21T21:25:20Z,w996umHDhHI,none
29,Floripa 2 - Extra @diego_uruguaio,"Filmagens e edição por vamoslonge, local praia da Joaquina.",2020-06-20T13:35:20Z,w3Z2I6gWhzM,none
30,"Garopaba - Terra de Areia, RS",,2020-07-02T04:34:11Z,lOJTApYUjUg,none
31,Itajaí - Balneário Camboriú SC,Viagem trip.,2020-06-14T16:24:04Z,TU93IbiNbhI,none
32,Dublagens Malditas 3 - Fábio Rabin Maconheiro,,2020-08-25T10:30:44Z,oitq43SI1Qg,none
33,Será que venci o desafio da marreta??,,2022-09-20T02:13:03Z,F3I9KxUkrSQ,none
34,Floripa 8 - Job,Após vários dias sem usar um computador hoje precisei finalizar um job. Muita gente nem sabe a verdadeira pessoa por trás ...,2020-06-26T01:22:47Z,Le8AnDVJ6F4,none
35,Bonito - Balneário Municipal,,2020-08-16T21:22:12Z,_Z0YQF9ZWZU,none
36,"Gramado, RS",Cheguei na serra gaúcha e quase congelei!!,2020-07-04T01:11:27Z,D1EejqYxrR8,none
37,"Curtindo Morro de São Paulo, Bahia, 2020 | Destino #50",um lugar muito louco pra curtir muito.,2022-06-07T22:00:02Z,0aLYNu64F9c,none
38,Balneário Camboriú - Bombinhas,"Visitei o Aquário, bondinho e Ziprider.",2020-06-16T01:52:19Z,0sjpl2VwzW8,none
39,Floripa 2 - Sandboard,Surf de manhã e rolê de moto a tarde. Principalmente sandboard com as melhores filmagens!,2020-06-20T13:50:26Z,P9eL7-SicBk,none
40,Floripa 6 - Daniela,"Surf na Joaquina, estréia do quadro Em Busca do Pôr do Sol Perfeito, no Balneário Daniela.",2020-06-24T04:59:25Z,vQJdmtu1lvg,none
41,"Cachoeira da Roncadeira, Palmas TO",,2020-10-18T22:39:38Z,ydeLUNNSNJI,none
42,Floripa 3 - Beach tennis,"Surf sem filmagens, fiquei em pé na funboard pela primeira vez mas meus braços caíram no fundo do mar... Aí fui filmar sábado ...",2020-06-21T16:50:24Z,Mu1KYgbvijU,none
43,Floripa 7 - Lagoa da Conceição,E outras aventuras.,2020-06-25T01:23:29Z,YgFmow4TNRw,none
44,Gramado - Parque Mini Mundo,,2020-07-06T03:01:27Z,Z-ibnmhRO80,none
45,"De Santa Maria a Cruz Alta, estourou a corrente na estrada",,2020-08-08T13:09:46Z,YZk4McY5uGM,none
46,"Bonito 11 - Gopro, Balneário, Live",,2020-08-27T07:38:42Z,IKRTtSwSJt4,none
47,De São Miguel do Oeste a Foz do Iguaçu de Tornado 250,,2020-08-10T15:37:51Z,UgwahITRbCo,none
48,Fábio Chapadin - Homenagem a Brasília (Raimundos Paródia),"Fizera pouco em te lo deixado todo quebrado desfigurado irreconhecível o Brasil Estão sem moral, criança com fome no natal ...",2020-10-14T00:29:20Z,AN1lk07s6gY,none
49,"Pirenópolis - Cachoeira Santa Maria, Lázaro e Véu da Noiva",,2020-09-30T04:34:39Z,UIdG4o_9rfk,none
50,"Gramado, RS - Esportes no Gelo",,2020-07-06T16:07:38Z,feFrctc5RbE,none
51,Floripa 12 - Moto na Oficina,,2020-06-30T04:51:46Z,EBnQ455aHA0,none
52,Bonito 2 - Carne de Jacaré é boa? Gopro voltou?,,2020-08-19T00:41:10Z,comII1HaJ7c,none
53,Floripa 4 - Deu ruim!,"O que era pra ser o melhor vídeo do canal ficou pra próxima, sem vento e motor enguiçado! Dia de descanso, perdido em meio a ...",2020-06-22T07:50:57Z,Md59PZEbVSI,none
54,Bombinhas - Floripa,Seguindo pelo litoral catarinense.,2020-06-18T04:09:03Z,q4BtQ6PGHwo,none
55,Bonito 6 - Pizza da Aposta,,2020-08-20T19:17:00Z,HXXl0gzohkM,none
56,Bonito 8 - Bebedeira Federal,,2020-08-24T06:10:50Z,9bpd-pNiQew,none
57,"Pôr do sol em Balneário Daniela, Florianópolis","Créditos Francisco Matelli Matulovic, entre em contato para original.",2020-06-25T00:24:52Z,JYHyPmCuUu8,none
58,"Bonito 4 - Chuva, Artesanato, Tapera, Espetinhos",,2020-08-20T09:41:50Z,R5txm4fIQ48,none
59,Ponte do Lago de Palmas (extra),,2020-10-21T23:24:25Z,awEMo-rWMgo,none
60,"Porto Alegre - Estádios, Parques e Orla",,2020-07-08T16:15:37Z,evPQcswX_LE,none
